running 1476 tests
test explorer::tests::candidate_inputs_consumed_between_literals_and_pool ... ok
test frontend::tests::major_minor_extracts_correctly ... ok
test frontend::tests::major_minor_handles_no_dots ... ok
test frontend::tests::instrument_returns_success ... ok
test frontend::tests::is_alive_returns_true_for_running_frontend ... ok
test frontend::tests::spawn_nonexistent_binary_returns_spawn_error ... ok
test frontend::tests::full_lifecycle_handshake_through_shutdown ... ok
test frontier::tests::blocking_params_and_best_prefix_preserved ... ok
test frontier::tests::duplicate_branch_id_replaces ... ok
test frontier::tests::empty_set_returns_none ... ok
test frontier::tests::increment_stall_missing_returns_false ... ok
test frontier::tests::increment_stall_updates_count ... ok
test frontier::tests::iter_yields_all_frontiers ... ok
test frontier::tests::peek_matches_pop ... ok
test frontier::tests::priority_lower_depth_first ... ok
test frontier::tests::priority_stall_count_breaks_ties ... ok
test frontier::tests::remove_by_branch_id ... ok
test frontier::tests::single_insert_and_pop ... ok
test frontier::tests::stall_count_saturates ... ok
test genetic_fitness::tests::all_targets_hit_scores_high ... ok
test genetic_fitness::tests::branch_distance_eq_exact_match ... ok
test genetic_fitness::tests::branch_distance_eq_far_apart ... ok
test genetic_fitness::tests::branch_distance_lt_not_satisfied ... ok
test genetic_fitness::tests::branch_distance_lt_satisfied ... ok
test genetic_fitness::tests::branch_distance_ne_different_values ... ok
test genetic_fitness::tests::branch_distance_ne_equal_values ... ok
test genetic_fitness::tests::coverage_no_targets_is_perfect ... ok
test genetic_fitness::tests::custom_weights_affect_total ... ok
test genetic_fitness::tests::default_weights_sum_to_one ... ok
test genetic_fitness::tests::empty_execution_coverage_zero ... ok
test genetic_fitness::tests::empty_execution_scores_low ... ok
test genetic_fitness::tests::fitness_always_in_zero_one_range ... ok
test genetic_fitness::tests::normalize_distance_large_gives_near_one ... ok
test genetic_fitness::tests::normalize_distance_negative_gives_zero ... ok
test genetic_fitness::tests::normalize_distance_zero_gives_zero ... ok
test genetic_fitness::tests::novelty_new_path_scores_one ... ok
test genetic_fitness::tests::novelty_repeated_path_scores_zero ... ok
test genetic_fitness::tests::unknown_bonus_none ... ok
test genetic_fitness::tests::unknown_bonus_saturates_at_five ... ok
test genetic_fitness::tests::unknown_constraint_gives_moderate_distance ... ok
test genetic_fitness::tests::zero_weights_give_zero_total ... ok
test input_gen::tests::bounded_array_length_favors_small_sizes ... ok
test input_gen::tests::collect_generate_commands_deduplicates ... ok
test input_gen::tests::collect_generate_commands_empty_for_all_builtin ... ok
test input_gen::tests::collect_generate_commands_multiple_generators ... ok
test input_gen::tests::complex_type_with_caps_generates_tagged_json ... ok
test input_gen::tests::complex_type_without_caps_falls_back ... ok
test input_gen::tests::crossover_inputs_array_single_point ... ok
test input_gen::tests::crossover_inputs_handles_empty ... ok
test input_gen::tests::crossover_inputs_length_matches_params ... ok
test input_gen::tests::crossover_inputs_object_field_level ... ok
test input_gen::tests::crossover_inputs_preserves_types ... ok
test input_gen::tests::crossover_inputs_produces_mixed_children ... ok
test input_gen::tests::crossover_inputs_respects_rate_zero ... ok
test input_gen::tests::crossover_string_children_are_strings ... ok
test input_gen::tests::crossover_string_empty_no_panic ... ok
test input_gen::tests::crossover_string_nonstring_types_unchanged ... ok
test input_gen::tests::crossover_string_produces_mixed_children ... ok
test frontend::tests::spawn_and_handshake_with_noop_frontend ... ok
test input_gen::tests::empty_union_produces_null ... ok
test input_gen::tests::generate_date_includes_boundary_values ... ok
test input_gen::tests::generate_date_produces_tagged_json ... ok
test input_gen::tests::crossover_string_unicode_safe ... ok
test input_gen::tests::generate_duration_produces_tagged_json ... ok
test input_gen::tests::generate_inputs_with_custom_all_builtin_matches_generate_random_inputs ... ok
test input_gen::tests::generate_inputs_with_custom_falls_back_when_exhausted ... ok
test input_gen::tests::generate_inputs_with_custom_uses_prefetched_values ... ok
test input_gen::tests::generate_random_inputs_checks_type_name_fallback ... ok
test input_gen::tests::generate_random_inputs_falls_back_for_unknown_name ... ok
test input_gen::tests::generate_random_inputs_matches_param_count ... ok
test input_gen::tests::generate_random_inputs_uses_heuristic_for_str ... ok
test input_gen::tests::generated_arrays_have_bounded_length ... ok
test input_gen::tests::generates_array_values ... ok
test input_gen::tests::generates_bool_values ... ok
test input_gen::tests::generates_float_values ... ok
test input_gen::tests::generates_int_values ... ok
test input_gen::tests::generates_nullable_values_including_null ... ok
test input_gen::tests::generates_object_values ... ok
test input_gen::tests::generates_string_values ... ok
test input_gen::tests::generates_union_values ... ok
test input_gen::tests::heuristic_case_insensitive ... ok
test input_gen::tests::heuristic_date ... ok
test input_gen::tests::heuristic_does_not_affect_non_str_types ... ok
test input_gen::tests::heuristic_email ... ok
test input_gen::tests::heuristic_ip ... ok
test frontend::tests::multiple_requests_use_sequential_ids ... ok
test input_gen::tests::heuristic_name_specificity ... ok
test input_gen::tests::heuristic_no_match_returns_none ... ok
test input_gen::tests::heuristic_path ... ok
test input_gen::tests::heuristic_phone ... ok
test input_gen::tests::heuristic_token ... ok
test input_gen::tests::heuristic_url ... ok
test input_gen::tests::heuristic_uuid_and_id ... ok
test input_gen::tests::literals_to_candidates_empty_literals_returns_empty ... ok
test input_gen::tests::literals_to_candidates_deduplicates_same_value ... ok
test input_gen::tests::literals_to_candidates_empty_params_returns_empty ... ok
test input_gen::tests::literals_to_candidates_int_does_not_match_str_param ... ok
test input_gen::tests::literals_to_candidates_int_matches_float_param ... ok
test input_gen::tests::literals_to_candidates_multi_param_uses_defaults ... ok
test input_gen::tests::literals_to_candidates_nullable_unwraps ... ok
test input_gen::tests::literals_to_candidates_regex_matches_str_param ... ok
test input_gen::tests::literals_to_candidates_str_matches_str_param ... ok
test input_gen::tests::mutate_array_empty_can_grow ... ok
test input_gen::tests::mutate_bool_flips ... ok
test input_gen::tests::mutate_array_type_valid ... ok
test input_gen::tests::mutate_inputs_rate_one_mutates_all ... ok
test input_gen::tests::mutate_inputs_rate_zero_returns_identical ... ok
test input_gen::tests::mutate_float_special_values ... ok
test input_gen::tests::mutate_int_invalid_input_regenerates ... ok
test input_gen::tests::mutate_nullable_can_flip_from_null ... ok
test input_gen::tests::mutate_int_boundary_values ... ok
test input_gen::tests::mutate_nullable_can_flip_to_null ... ok
test input_gen::tests::mutate_object_type_valid ... ok
test input_gen::tests::mutate_string_empty_dictionary_no_injection ... ok
test input_gen::tests::mutate_string_empty_input_is_safe ... ok
test input_gen::tests::mutate_union_delegates_to_variant ... ok
test input_gen::tests::mutate_value_opaque_returns_unchanged ... ok
test input_gen::tests::mutate_value_unknown_returns_unchanged ... ok
test input_gen::tests::opaque_type_generates_null ... ok
test input_gen::tests::pool_to_candidate_inputs_deduplicates ... ok
test input_gen::tests::pool_to_candidate_inputs_empty_pool_returns_empty ... ok
test input_gen::tests::pool_to_candidate_inputs_produces_candidates ... ok
test input_gen::tests::prefetched_values_insert_and_take ... ok
test input_gen::tests::prefetched_values_missing_key_returns_none ... ok
test input_gen::tests::prefetched_values_multiple_inserts_append ... ok
test input_gen::tests::mutate_string_operators_change_length ... ok
test input_gen::tests::mutate_string_dictionary_injection ... ok
test input_gen::tests::prop_tests::mutate_bool_preserves_bool ... ok
test file_lock::tests::concurrent_access_serialized ... ok
test input_gen::tests::prop_tests::mutate_inputs_actually_mutates ... ok
test input_gen::tests::prop_tests::mutate_inputs_preserves_length ... ok
test input_gen::tests::prop_tests::mutate_int_preserves_number ... ok
test input_gen::tests::prop_tests::mutate_inputs_preserves_types_arbitrary ... ok
test frontend::tests::is_alive_returns_false_after_shutdown ... ok
test input_gen::tests::resolve_value_sources_all_builtin_when_no_generators ... ok
test input_gen::tests::resolve_value_sources_param_generator_overrides_type_generator ... ok
test input_gen::tests::resolve_value_sources_param_generator_takes_precedence ... ok
test input_gen::tests::resolve_value_sources_type_generator_requires_type_name ... ok
test interesting_pool::tests::behavior_sig_from_observation ... ok
test input_gen::tests::unknown_type_generates_diverse_values ... ok
test interesting_pool::tests::behavior_sig_hash_equality ... ok
test interesting_pool::tests::classify_case_insensitive ... ok
test interesting_pool::tests::classify_crash_overrides_error ... ok
test interesting_pool::tests::classify_custom_error_as_handled ... ok
test interesting_pool::tests::classify_no_error_as_rare_path ... ok
test interesting_pool::tests::classify_runtime_error_as_unhandled ... ok
test interesting_pool::tests::load_pool_missing_returns_none ... ok
test interesting_pool::tests::pool_entry_serde_round_trip ... ok
test interesting_pool::tests::pool_evicts_redundant_first ... ok
test interesting_pool::tests::pool_insert_and_merge ... ok
test interesting_pool::tests::severity_ordering ... ok
test invariants::tests::classified_invariant_has_label ... ok
test invariants::tests::classified_invariant_serialization_round_trips ... ok
test interesting_pool::tests::pool_save_load_round_trip ... ok
test invariants::tests::classified_invariants_empty_returns_empty ... ok
test invariants::tests::classified_invariants_all_observed ... ok
test invariants::tests::classified_invariants_include_output ... ok
test invariants::tests::detects_always_true_boolean ... ok
test invariants::tests::detects_is_null_invariant ... ok
test invariants::tests::combined_invariants_x_positive_and_output_len_equals_input_len ... ok
test invariants::tests::detects_not_null_invariant ... ok
test invariants::tests::detects_output_equals_input_field ... ok
test invariants::tests::detects_positive_numeric_invariant ... ok
test invariants::tests::detects_string_non_empty ... ok
test frontend::tests::spawn_timeout_returns_timeout_error ... ok
test invariants::tests::does_not_detect_false_output_input_relation ... ok
test invariants::tests::does_not_detect_non_empty_when_empty_present ... ok
test invariants::tests::does_not_detect_positive_when_zero_present ... ok
test invariants::tests::does_not_report_trivially_true_type_invariants ... ok
test invariants::tests::detects_numeric_constant ... ok
test invariants::tests::empty_specimens_returns_no_invariants ... ok
test invariants::tests::format_invariant_label_numeric_comparison ... ok
test invariants::tests::format_invariant_label_output_equals_input ... ok
test invariants::tests::format_invariant_label_root_path ... ok
test invariants::tests::invariant_serialization_round_trips ... ok
test invariants::tests::filters_ge_zero_when_gt_zero_present ... ok
test invariants::tests::records_from_raw_results_converts_correctly ... ok
test invariants::tests::records_from_raw_results_empty_input ... ok
test invariants::tests::nested_object_paths_detected ... ok
test input_gen::tests::prop_tests::mutate_str_preserves_string ... ok
test log_level::tests::log_level_default_is_info ... ok
test invariants::tests::parallel_cluster_detection ... ok
test log_level::tests::log_level_display ... ok
test log_level::tests::log_level_from_str_case_insensitive ... ok
test log_level::tests::log_level_ordering ... ok
test log_level::tests::log_level_from_str_rejects_unknown ... ok
test invariants::tests::single_parameter_without_wrapping_object ... ok
test mock_gen::tests::any_pattern_matches_everything ... ok
test log_level::tests::log_level_round_trip_from_str ... ok
test mock_gen::tests::branching_function_produces_two_conditions ... ok
test mock_gen::tests::behavior_without_return_or_error_is_skipped ... ok
test mock_gen::tests::empty_behavior_map_returns_none ... ok
test mock_gen::tests::decision_tree_round_trips_through_json ... ok
test mock_gen::tests::enhanced_mock_config_from_decision_tree ... ok
test mock_gen::tests::eq_pattern_matches_exact_value ... ok
test mock_gen::tests::error_throwing_function_includes_error_condition ... ok
test mock_gen::tests::fallback_to_flat_mock_when_no_tree ... ok
test mock_gen::tests::matches_condition_requires_all_patterns ... ok
test mock_gen::tests::mock_config_from_behavior_map_uses_tree_when_possible ... ok
test mock_gen::tests::range_pattern_matches_inclusive_bounds ... ok
test mock_gen::tests::multiple_parameters_have_correct_arg_indices ... ok
test mock_gen::tests::type_pattern_matches_json_type ... ok
test mock_gen::tests::single_behavior_produces_single_condition ... ok
test nondeterminism::tests::construct_nondeterministic_field ... ok
test nondeterminism::tests::confidence_ordering ... ok
test nondeterminism::tests::cross_run_empty_no_match ... ok
test nondeterminism::tests::cross_run_monotonic_counter_large_step_within_bound ... ok
test nondeterminism::tests::cross_run_mixed_types_no_match ... ok
test nondeterminism::tests::cross_run_monotonic_counter_step_too_large ... ok
test nondeterminism::tests::cross_run_monotonic_counter_two_values_low_confidence ... ok
test nondeterminism::tests::cross_run_not_monotonic_equal ... ok
test nondeterminism::tests::cross_run_single_value_no_match ... ok
test nondeterminism::tests::cross_run_not_monotonic_decreasing ... ok
test nondeterminism::tests::env_heuristic_bool_rejected ... ok
test nondeterminism::tests::cross_run_monotonic_counter_three_values ... ok
test nondeterminism::tests::env_heuristic_dot_path ... ok
test nondeterminism::tests::env_heuristic_hostname_string ... ok
test nondeterminism::tests::env_heuristic_long_string_rejected ... ok
test nondeterminism::tests::env_heuristic_empty_string_rejected ... ok
test nondeterminism::tests::env_heuristic_negative_pid_rejected ... ok
test nondeterminism::tests::env_heuristic_pid_integer ... ok
test nondeterminism::tests::env_heuristic_unrelated_field ... ok
test nondeterminism::tests::evidence_variants_round_trip ... ok
test nondeterminism::tests::multiple_evidence_accumulates ... ok
test nondeterminism::tests::name_heuristic_at_suffix ... ok
test nondeterminism::tests::name_heuristic_case_insensitive ... ok
test nondeterminism::tests::name_heuristic_date_suffix ... ok
test nondeterminism::tests::name_heuristic_dot_path_uses_last_segment ... ok
test nondeterminism::tests::name_heuristic_highest_confidence_wins ... ok
test nondeterminism::tests::name_heuristic_id_suffix ... ok
test nondeterminism::tests::name_heuristic_input_echo_case_insensitive ... ok
test nondeterminism::tests::name_heuristic_input_echo_reduces_confidence ... ok
test nondeterminism::tests::name_heuristic_no_match ... ok
test nondeterminism::tests::name_heuristic_pattern_table_ordered_by_confidence ... ok
test nondeterminism::tests::name_heuristic_hostname_suffix ... ok
test nondeterminism::tests::name_heuristic_nonce_suffix ... ok
test nondeterminism::tests::name_heuristic_pid_bare_matches_id ... ok
test nondeterminism::tests::name_heuristic_pid_suffix ... ok
test nondeterminism::tests::name_heuristic_random_substring ... ok
test nondeterminism::tests::name_heuristic_suffix_no_false_positive_on_interior ... ok
test nondeterminism::tests::name_heuristic_suffix_requires_prefix ... ok
test nondeterminism::tests::name_heuristic_timestamp_suffix ... ok
test nondeterminism::tests::name_heuristic_token_suffix ... ok
test nondeterminism::tests::name_heuristic_uuid_suffix ... ok
test nondeterminism::tests::pattern_date_locale_case_insensitive ... ok
test nondeterminism::tests::pattern_date_iso_only ... ok
test nondeterminism::tests::pattern_date_locale_month_first ... ok
test nondeterminism::tests::pattern_date_locale_day_first ... ok
test nondeterminism::tests::pattern_empty_string ... ok
test nondeterminism::tests::pattern_date_rejects_partial ... ok
test nondeterminism::tests::pattern_date_us_format ... ok
test nondeterminism::tests::pattern_hex_too_short ... ok
test nondeterminism::tests::pattern_iso8601_rejects_date_only ... ok
test nondeterminism::tests::pattern_jwt_rejects_non_jwt ... ok
test nondeterminism::tests::pattern_iso8601_with_offset ... ok
test nondeterminism::tests::pattern_match_serialization_round_trip ... ok
test nondeterminism::tests::pattern_jwt_token ... ok
test nondeterminism::tests::pattern_iso8601_datetime ... ok
test nondeterminism::tests::pattern_non_hex_string ... ok
test nondeterminism::tests::pattern_null_and_bool ... ok
test nondeterminism::tests::pattern_number_outside_timestamp_range ... ok
test nondeterminism::tests::pattern_object_and_array_return_empty ... ok
test nondeterminism::tests::pattern_iso8601_still_works_separately ... ok
test nondeterminism::tests::pattern_unix_timestamp_millis ... ok
test nondeterminism::tests::pattern_unix_timestamp_seconds ... ok
test nondeterminism::tests::pattern_random_hex_long ... ok
test nondeterminism::tests::pattern_sha256_hex ... ok
test nondeterminism::tests::pattern_uuid_v4 ... ok
test nondeterminism::tests::reexec_all_deterministic ... ok
test nondeterminism::tests::pattern_uuid_v4_rejects_v1 ... ok
test nondeterminism::tests::pattern_uuid_v4_uppercase ... ok
test nondeterminism::tests::reexec_both_return_none_is_deterministic ... ok
test nondeterminism::tests::reexec_confidence_levels ... ok
test nondeterminism::tests::reexec_confidence_medium ... ok
test nondeterminism::tests::reexec_empty_samples ... ok
test nondeterminism::tests::reexec_error_type_variation ... ok
test nondeterminism::tests::reexec_fully_nondeterministic ... ok
test nondeterminism::tests::reexec_multiple_samples_aggregate ... ok
test nondeterminism::tests::reexec_outcome_mismatch ... ok
test nondeterminism::tests::reexec_primitive_return_value_changes ... ok
test nondeterminism::tests::reexec_single_field_nondeterministic ... ok
test nondeterminism::tests::select_samples_empty_inputs ... ok
test nondeterminism::tests::select_samples_picks_most_different ... ok
test nondeterminism::tests::select_samples_single_input ... ok
test nondeterminism::tests::similarity_array_different_length ... ok
test nondeterminism::tests::serialize_deserialize_round_trip ... ok
test nondeterminism::tests::similarity_array_same_length ... ok
test nondeterminism::tests::similarity_completely_different_objects ... ok
test nondeterminism::tests::similarity_deeply_nested ... ok
test nondeterminism::tests::similarity_empty_arrays ... ok
test nondeterminism::tests::similarity_different_primitives ... ok
test nondeterminism::tests::similarity_empty_objects ... ok
test nondeterminism::tests::similarity_high_threshold_large_object ... ok
test nondeterminism::tests::similarity_identical_primitives ... ok
test nondeterminism::tests::similarity_identical_objects ... ok
test nondeterminism::tests::similarity_low_threshold_mostly_different ... ok
test nondeterminism::tests::similarity_missing_key_with_nested_value ... ok
test nondeterminism::tests::similarity_mixed_array_and_object ... ok
test nondeterminism::tests::similarity_nested_objects ... ok
test nondeterminism::tests::similarity_null_handling ... ok
test nondeterminism::tests::similarity_object_vs_primitive ... ok
test nondeterminism::tests::similarity_one_field_changed ... ok
test nondeterminism::tests::similarity_type_mismatch ... ok
test nondeterminism::tests::slow_pattern_evidence_round_trip ... ok
test orchestrator::tests::concrete_complex_bigint_to_json ... ok
test orchestrator::tests::concrete_complex_to_json_produces_tagged_format ... ok
test orchestrator::tests::concrete_to_json_primitives ... ok
test orchestrator::tests::default_config_has_reasonable_limits ... ok
test orchestrator::tests::different_taken_hashes_differently ... ok
test orchestrator::tests::empty_branch_path_hashes_consistently ... ok
test orchestrator::tests::explore_noop_frontend_exhausts_worklist ... ok
test orchestrator::tests::explore_stops_on_max_executions ... ok
test orchestrator::tests::explore_stops_on_coverage_plateau ... ok
test input_gen::tests::prop_tests::crossover_inputs_type_compatible ... ok
test orchestrator::tests::extracts_expr_constraints_and_skips_unknown ... ok
test orchestrator::tests::frontend_capabilities_default_is_empty ... ok
test orchestrator::tests::frontend_capabilities_ignores_unknown_complex_types ... ok
test orchestrator::tests::frontend_capabilities_parses_complex_types ... ok
test orchestrator::tests::frontend_capabilities_separates_commands_from_complex_types ... ok
test orchestrator::tests::fuzz_boolean_flips ... ok
test orchestrator::tests::fuzz_integer_produces_mutations ... ok
test orchestrator::tests::fuzz_multiple_inputs_mutates_each ... ok
test orchestrator::tests::fuzz_null_produces_nothing ... ok
test orchestrator::tests::fuzz_string_produces_mutations ... ok
test orchestrator::tests::fuzz_zero_produces_mutations ... ok
test input_gen::tests::prop_tests::crossover_inputs_preserves_length_arbitrary ... ok
test orchestrator::tests::explore_stops_on_timeout_explore ... ok
test orchestrator::tests::overlay_no_match_preserves_base ... ok
test orchestrator::tests::overlay_replaces_matching_param ... ok
test orchestrator::tests::overlay_single_param_fallback ... ok
test orchestrator::tests::explore_stops_on_max_iterations ... ok
test orchestrator::tests::prop_tests::budget_limits_iteration_count ... ok
test orchestrator::tests::multi_branch_z3_exploration ... ok
test orchestrator::tests::prop_tests::overlay_preserves_length ... ok
test orchestrator::tests::negating_failed_equality_finds_target_value ... ok
test orchestrator::tests::prop_tests::overlay_ignores_unknown_names ... ok
test orchestrator::tests::prop_tests::overlay_with_known_param_updates_value ... ok
test orchestrator::tests::same_branch_path_hashes_identically ... ok
test orchestrator::tests::explore_triage_skips_redundant_seeds ... ok
test orchestrator::tests::worklist_drains_in_priority_order ... ok
test pipeline::tests::analyze_carries_nondeterministic_fields ... ok
test pipeline::tests::analyze_empty_exploration ... ok
test orchestrator::tests::explore_concolic_frontend_discovers_paths_via_z3 ... ok
test pipeline::tests::analyze_produces_all_outputs ... ok
test pipeline::tests::observation_output_from_concolic_result ... ok
test pipeline::tests::constraint_count_deduplicates_by_branch_id ... ok
test project::tests::accepts_directory_as_input ... ok
test project::tests::detects_go_project_via_go_mod ... ok
test project::tests::detects_typescript_project_via_package_json ... ok
test protocol::tests::all_branch_types_round_trip ... ok
test protocol::tests::all_dependency_kinds_round_trip ... ok
test protocol::tests::all_error_codes_round_trip ... ok
test project::tests::returns_none_for_isolated_file ... ok
test protocol::tests::all_generator_kinds_round_trip ... ok
test protocol::tests::all_mock_behaviors_round_trip ... ok
test protocol::tests::analyze_request_serializes_with_command_tag ... ok
test protocol::tests::analyze_request_with_function_round_trips ... ok
test protocol::tests::analyze_response_missing_functions_field_defaults_to_empty ... ok
test protocol::tests::analyze_request_without_function_round_trips ... ok
test protocol::tests::analyze_response_multiple_functions_round_trips ... ok
test protocol::tests::analyze_response_round_trips ... ok
test protocol::tests::analyze_with_project_root_round_trips ... ok
test protocol::tests::analyze_without_project_root_omits_field ... ok
test protocol::tests::branch_info_without_condition_round_trips ... ok
test protocol::tests::crypto_boundary_round_trips ... ok
test protocol::tests::empty_crypto_boundaries_omitted_from_json ... ok
test protocol::tests::error_response_round_trips ... ok
test protocol::tests::error_response_serializes_with_status_tag ... ok
test protocol::tests::error_response_with_details_round_trips ... ok
test protocol::tests::execute_request_round_trips ... ok
test protocol::tests::execute_request_with_mocks_round_trips ... ok
test protocol::tests::execute_request_with_setup_context_round_trips ... ok
test protocol::tests::execute_request_without_setup_context_backward_compatible ... ok
test protocol::tests::execute_request_without_setup_context_omits_field_in_json ... ok
test protocol::tests::execute_response_with_error_round_trips ... ok
test protocol::tests::execute_response_round_trips ... ok
test protocol::tests::external_dependency_round_trips ... ok
test protocol::tests::function_analysis_empty_literals_omits_field_in_json ... ok
test protocol::tests::function_analysis_minimal_round_trips ... ok
test protocol::tests::function_analysis_with_crypto_boundaries_round_trips ... ok
test protocol::tests::function_analysis_without_literals_field_deserializes_as_empty ... ok
test protocol::tests::function_analysis_with_literals_round_trips ... ok
test protocol::tests::generate_request_param_name_round_trips ... ok
test protocol::tests::generate_request_serializes_with_command_tag ... ok
test protocol::tests::generate_request_type_name_round_trips ... ok
test protocol::tests::generate_response_primitive_value_round_trips ... ok
test protocol::tests::generate_response_round_trips ... ok
test protocol::tests::handshake_request_round_trips ... ok
test protocol::tests::handshake_response_round_trips ... ok
test protocol::tests::instrument_request_empty_mocks_round_trips ... ok
test protocol::tests::instrument_request_round_trips ... ok
test protocol::tests::instrument_response_round_trips ... ok
test protocol::tests::instrument_response_with_line_count_deserializes ... ok
test protocol::tests::instrument_response_without_line_count_round_trips ... ok
test protocol::tests::literal_value_round_trips_all_variants ... ok
test protocol::tests::instrument_with_project_root_round_trips ... ok
test orchestrator::tests::prop_tests::path_dedup_set_size_equals_distinct_count ... ok
test protocol::tests::missing_crypto_boundaries_defaults_to_empty ... ok
test protocol::tests::mock_config_round_trips ... ok
test protocol::tests::noop_frontend_analyze_response_deserializes ... ok
test protocol::tests::noop_frontend_error_response_deserializes ... ok
test protocol::tests::noop_frontend_execute_response_deserializes ... ok
test protocol::tests::noop_frontend_handshake_response_deserializes ... ok
test protocol::tests::noop_frontend_instrument_response_deserializes ... ok
test protocol::tests::noop_frontend_shutdown_response_deserializes ... ok
test protocol::tests::performance_metrics_round_trips ... ok
test orchestrator::tests::z3_finds_exact_equality_input ... ok
test explorer::tests::prop_tests::path_hash_is_deterministic ... ok
test protocol::tests::select_branch_type_deserializes ... ok
test protocol::tests::setup_request_per_execution_round_trips ... ok
test protocol::tests::setup_request_round_trips ... ok
test protocol::tests::setup_request_serializes_with_command_tag ... ok
test protocol::tests::setup_response_round_trips ... ok
test protocol::tests::shutdown_ack_response_round_trips ... ok
test protocol::tests::shutdown_request_round_trips ... ok
test protocol::tests::teardown_ack_response_round_trips ... ok
test protocol::tests::teardown_request_round_trips ... ok
test protocol::tests::teardown_request_serializes_with_command_tag ... ok
test recursive::tests::generate_depth_inputs_array_grows ... ok
test recursive::tests::generate_depth_inputs_grows_with_depth ... ok
test recursive::tests::generate_probe_inputs_empty_params ... ok
test recursive::tests::generate_probe_inputs_multi_param_capped ... ok
test recursive::tests::generate_probe_inputs_single_param ... ok
test recursive::tests::hash_inputs_deterministic ... ok
test recursive::tests::hash_inputs_distinct ... ok
test recursive::tests::probe_values_array_includes_empty ... ok
test recursive::tests::probe_values_int_includes_boundaries ... ok
test recursive::tests::probe_values_nullable_includes_null ... ok
test recursive::tests::probe_values_str_includes_empty ... ok
test recursive::tests::recursive_config_default ... ok
test report::tests::boundary_values_detected ... ok
test report::tests::coverage_percentage_calculation ... ok
test report::tests::coverage_percentage_zero_total_lines ... ok
test report::tests::empty_scan_produces_valid_report ... ok
test report::tests::function_report_with_errors ... ok
test report::tests::generate_report_from_parallel_scan ... ok
test report::tests::generate_report_from_sequential_scan ... ok
test orchestrator::tests::prop_tests::worklist_dequeues_in_priority_order ... ok
test report::tests::generate_report_with_skipped_functions ... ok
test report::tests::markdown_empty_report_produces_sensible_output ... ok
test report::tests::json_serialization_round_trip ... ok
test report::tests::markdown_report_contains_all_sections ... ok
test report::tests::markdown_report_coverage_indicators ... ok
test report::tests::markdown_report_has_correct_statistics ... ok
test report::tests::markdown_report_shows_mocks ... ok
test report::tests::markdown_report_summary_table_has_headers ... ok
test report::tests::markdown_report_with_skipped_functions ... ok
test report::tests::markdown_table_formatting_is_valid ... ok
test report::tests::overall_coverage_computed_correctly ... ok
test report::tests::progress_event_has_correct_structure ... ok
test report::tests::progress_event_round_trips ... ok
test report::tests::progress_event_serializes_to_json ... ok
test report::tests::report_contains_all_required_fields ... ok
test report::tests::report_file_paths_are_relative_when_file_map_is_relative ... ok
test report::tests::report_format_from_str ... ok
test report::tests::write_markdown_report_creates_file ... ok
test report::tests::write_report_creates_directory_and_file ... ok
test report_style::tests::ansi_style_has_codes ... ok
test report_style::tests::coverage_bar_thresholds ... ok
test report_style::tests::coverage_indicator_symbols ... ok
test report_style::tests::coverage_pct_color_thresholds ... ok
test report_style::tests::default_style_has_no_ansi ... ok
test reporter::tests::annotated_cluster_round_trips ... ok
test reporter::tests::behavior_section_with_external_calls ... ok
test reporter::tests::behavior_section_with_return_value ... ok
test reporter::tests::behavior_section_with_thrown_error ... ok
test reporter::tests::dependencies_section ... ok
test reporter::tests::edge_case_round_trips ... ok
test reporter::tests::edge_cases_section ... ok
test reporter::tests::format_bytes_produces_human_readable ... ok
test reporter::tests::format_type_handles_all_variants ... ok
test reporter::tests::full_spec_matches_expected_format ... ok
test reporter::tests::function_heading_includes_signature ... ok
test reporter::tests::generate_from_behavior_map_produces_sections ... ok
test reporter::tests::invariant_round_trips ... ok
test reporter::tests::multiple_invariants_joined_with_semicolon ... ok
test reporter::tests::no_dependencies_section_when_empty ... ok
test reporter::tests::no_edge_cases_section_when_empty ... ok
test reporter::tests::no_parameters_section_when_empty ... ok
test reporter::tests::parameters_section_lists_params ... ok
test reporter::tests::summarize_return_values_non_numeric_uses_first ... ok
test reporter::tests::summarize_return_values_numeric_range ... ok
test reporter::tests::summarize_return_values_single_numeric ... ok
test revalidation::tests::confirmed_when_code_changed_but_behavior_identical ... ok
test revalidation::tests::confirmed_when_nothing_changed ... ok
test revalidation::tests::display_impl ... ok
test revalidation::tests::expected_drift_when_code_changed_and_path_differs ... ok
test revalidation::tests::flaky_when_code_unchanged_and_behavior_vanished ... ok
test revalidation::tests::flaky_when_code_unchanged_but_path_differs ... ok
test revalidation::tests::now_epoch_ms_returns_reasonable_value ... ok
test revalidation::tests::potential_regression_when_code_changed_and_behavior_vanished ... ok
test revalidation::tests::report_serde_round_trip ... ok
test revalidation::tests::severity_downgrade ... ok
test revalidation::tests::severity_downgrade_takes_precedence_over_drift ... ok
test revalidation::tests::severity_upgrade ... ok
test revalidation::tests::severity_upgrade_takes_precedence_over_path_match ... ok
test revalidation::tests::verdict_serde_round_trip ... ok
test scan_orchestrator::tests::build_layers_diamond_groups_siblings ... ok
test scan_orchestrator::tests::build_layers_empty_input ... ok
test scan_orchestrator::tests::build_layers_independent_functions_in_same_layer ... ok
test scan_orchestrator::tests::build_layers_linear_chain_produces_separate_layers ... ok
test scan_orchestrator::tests::build_layers_single_function ... ok
